Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
21/09/2018,Cork City,Dundalk,0,1,A,3.51,3.41,2.18
21/09/2018,Bray,Limerick,0,2,A,2.97,3.68,2.33
21/09/2018,Waterford,Sligo Rovers,1,0,H,1.63,4.07,5.7
22/09/2018,Derry City,Shamrock Rovers,0,1,A,5.93,4.19,1.59
22/09/2018,St. Patricks,Bohemians,1,3,A,1.79,3.96,4.47
25/09/2018,Dundalk,Derry City,3,2,H,1.18,7.62,15.2
05/10/2018,Bohemians,Waterford,1,3,A,4.6,4.06,1.75
05/10/2018,Drogheda,Shelbourne,0,1,A,,,
05/10/2018,Dundalk,St. Patricks,1,1,D,1.27,6.31,9.93
05/10/2018,Limerick,Derry City,0,1,A,2.76,3.7,2.51
05/10/2018,Shamrock Rovers,Cork City,0,0,D,1.45,4.45,7.88
06/10/2018,Sligo Rovers,Bray,2,1,H,1.32,5.37,10.18
08/10/2018,Shelbourne,Drogheda,1,2,A,2.46,3.17,3.24
12/10/2018,Cork City,Limerick,3,0,H,1.31,5.68,9.46
12/10/2018,Drogheda,Finn Harps,1,1,D,3.23,3.35,2.36
12/10/2018,St. Patricks,Shamrock Rovers,0,1,A,3.7,3.54,2.08
12/10/2018,Waterford,Dundalk,1,2,A,3.88,4.01,1.9
19/10/2018,Bray,Bohemians,0,5,A,8.16,6.55,1.3
19/10/2018,Derry City,Cork City,0,3,A,4.06,4.29,1.8
19/10/2018,Dundalk,Sligo Rovers,5,0,H,1.21,7.27,12.61
19/10/2018,Limerick,St. Patricks,0,4,A,6.03,5.13,1.47
19/10/2018,Shamrock Rovers,Waterford,3,1,H,1.76,4.03,4.59
22/10/2018,Bray,Derry City,2,1,H,5.53,4.85,1.52
22/10/2018,Sligo Rovers,Bohemians,1,1,D,4.43,4.31,1.71
26/10/2018,Bohemians,Dundalk,1,1,D,5.27,4.39,1.59
26/10/2018,Cork City,Bray,5,1,H,1.1,9.16,23.78
26/10/2018,Sligo Rovers,Shamrock Rovers,2,0,H,5.04,4.24,1.64
26/10/2018,St. Patricks,Derry City,5,0,H,1.4,5.29,6.88
26/10/2018,Waterford,Limerick,4,1,H,1.15,7.42,17.34
29/10/2018,Finn Harps,Limerick,1,0,H,1.76,3.7,5.08
02/11/2018,Limerick,Finn Harps,0,2,A,2.41,3.55,2.92
